pais,provincia_departamento,ciudad,property_type,rooms,bedrooms,bathrooms,surface_total,price_USD,precio_m2
Argentina,Capital Federal,Congreso,Departamento,3.0,2.0,1.0,53,112000,2113.207547
Argentina,Capital Federal,Recoleta,Departamento,3.0,2.0,1.0,69,250000,3623.188406
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,65,44041,677.5538462
Argentina,Capital Federal,Villa Crespo,Departamento,3.0,2.0,1.0,60,169000,2816.666667
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,34,115000,3382.352941
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,35,64000,1828.571429
Argentina,Capital Federal,Villa Luro,Departamento,4.0,3.0,2.0,116,430000,3706.896552
Argentina,Buenos Aires Costa Atlántica,San Bernardo,Departamento,2.0,1.0,1.0,40,50000,1250
Argentina,Córdoba,Córdoba,Departamento,3.0,2.0,1.0,66,75000,1136.363636
Argentina,Capital Federal,Villa Devoto,Departamento,4.0,3.0,2.0,100,185000,1850
Colombia,Antioquia,Santafé de Antioquia,Apartamento,2.0,2.0,2.0,53,46793,882.8867925
Argentina,Capital Federal,Barrio Norte,Departamento,2.0,1.0,1.0,40,137000,3425
Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,1.0,1.0,1.0,22,40000,1818.181818
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,39,57000,1461.538462
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,2.0,94,118359,1259.138298
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,3.0,1.0,1.0,75,120000,1600
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,80,66061,825.7625
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,38,108000,2842.105263
Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,Departamento,3.0,2.0,1.0,56,25000,446.4285714
Argentina,Capital Federal,Almagro,Departamento,3.0,2.0,1.0,54,135000,2500
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,65,49546,762.2461538
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,44,100000,2272.727273
Argentina,Santa Fe,Rosario,Departamento,1.0,1.0,1.0,29,64000,2206.896552
Argentina,Capital Federal,Parque Chacabuco,Departamento,2.0,1.0,1.0,63,156625,2486.111111
Argentina,Santa Fe,Rosario,Departamento,3.0,2.0,1.0,98,105000,1071.428571
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,2.0,62,63309,1021.112903
Argentina,Capital Federal,Villa Urquiza,Departamento,2.0,1.0,1.0,35,69000,1971.428571
Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Departamento,2.0,1.0,1.0,36,93000,2583.333333
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,87,123865,1423.735632
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,34,49500,1455.882353
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,66,149900,2271.212121
Argentina,Bs.As. G.B.A. Zona Sur,Berazategui,Departamento,1.0,1.0,1.0,42,75000,1785.714286
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,33,90000,2727.272727
Argentina,Bs.As. G.B.A. Zona Sur,Ezeiza,Departamento,2.0,1.0,1.0,37,30000,810.8108108
Argentina,Capital Federal,Balvanera,Departamento,2.0,1.0,1.0,41,90000,2195.121951
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,2.0,125,118359,946.872
Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Departamento,2.0,1.0,1.0,39,70000,1794.871795
Argentina,Capital Federal,San Cristobal,Departamento,3.0,2.0,1.0,55,115000,2090.909091
Argentina,Capital Federal,Barrio Norte,Departamento,3.0,2.0,1.0,54,175000,3240.740741
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,1.0,43,82576,1920.372093
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,1.0,60,97000,1616.666667
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,231,265621,1149.874459
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,1.0,42,33031,786.452381
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,3.0,183,495458,2707.420765
Argentina,Capital Federal,Recoleta,Departamento,4.0,3.0,2.0,170,830000,4882.352941
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,1.0,1.0,1.0,25,35000,1400
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,36,78900,2191.666667
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,60,100000,1666.666667
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,4.0,3.0,3.0,97,360000,3711.340206
Argentina,Bs.As. G.B.A. Zona Norte,San Fernando,Departamento,2.0,1.0,1.0,47,119000,2531.914894
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,1.0,1.0,1.0,40,108000,2700
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,103,81200,788.3495146
Colombia,Antioquia,Medellín,Apartamento,3.0,3.0,2.0,73,57803,791.8219178
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,87,90834,1044.068966
Colombia,Antioquia,Envigado,Apartamento,2.0,2.0,2.0,90,123865,1376.277778
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,40,83000,2075
Argentina,Capital Federal,San Telmo,Departamento,3.0,2.0,2.0,127,350000,2755.905512
Argentina,Capital Federal,Balvanera,Departamento,2.0,1.0,1.0,36,99000,2750
Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,Departamento,2.0,1.0,1.0,45,80000,1777.777778
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,115,154143,1340.373913
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,74,148637,2008.608108
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,3.0,91,82576,907.4285714
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,37,77900,2105.405405
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,3.0,116,233966,2016.948276
Argentina,Capital Federal,Villa Ortuzar,Departamento,3.0,2.0,1.0,42,115000,2738.095238
Argentina,Capital Federal,Caballito,Departamento,3.0,2.0,1.0,48,150000,3125
Argentina,Capital Federal,Nuñez,Departamento,3.0,2.0,1.0,48,125000,2604.166667
Colombia,Santander,Floridablanca,Apartamento,2.0,2.0,2.0,63,37985,602.9365079
Colombia,Atlántico,Barranquilla,Apartamento,1.0,1.0,2.0,37,46518,1257.243243
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,120,66061,550.5083333
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,35,70000,2000
Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,Departamento,3.0,2.0,1.0,80,80000,1000
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,3.0,86,85329,992.1976744
Argentina,Capital Federal,San Nicolás,Departamento,3.0,2.0,2.0,43,115000,2674.418605
Argentina,Córdoba,Córdoba,Departamento,2.0,1.0,1.0,46,43000,934.7826087
Argentina,Capital Federal,Boedo,Departamento,1.0,1.0,1.0,25,64900,2596
Argentina,Capital Federal,Recoleta,Departamento,4.0,3.0,1.0,160,680000,4250
Argentina,Capital Federal,Villa del Parque,Departamento,2.0,1.0,1.0,61,182999,2999.983607
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,37,105000,2837.837838
Argentina,Capital Federal,Retiro,Departamento,5.0,3.0,3.0,133,350000,2631.578947
Argentina,Capital Federal,Recoleta,Departamento,6.0,4.0,2.0,168,500000,2976.190476
Colombia,Risaralda,Pereira,Apartamento,1.0,1.0,1.0,55,37159,675.6181818
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,3.0,127,170658,1343.76378
Argentina,Córdoba,Córdoba,Departamento,3.0,3.0,3.0,195,400000,2051.282051
Argentina,Capital Federal,Almagro,Departamento,3.0,2.0,1.0,66,125000,1893.939394
Argentina,Capital Federal,Recoleta,Departamento,3.0,2.0,2.0,149,460000,3087.248322
Colombia,Antioquia,Bello,Apartamento,2.0,2.0,2.0,57,51748,907.8596491
Argentina,Córdoba,Córdoba,Departamento,6.0,3.0,2.0,165,315000,1909.090909
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,42,114800,2733.333333
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,100,233966,2339.66
Argentina,Buenos Aires Costa Atlántica,Villa Gesell,Departamento,2.0,1.0,1.0,45,80000,1777.777778
Argentina,Córdoba,Córdoba,Departamento,2.0,1.0,1.0,42,45000,1071.428571
Argentina,Neuquén,Neuquén,Departamento,5.0,3.0,3.0,125,280000,2240
Argentina,Córdoba,Córdoba,Departamento,4.0,2.0,1.0,65,35000,538.4615385
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,46,210000,4565.217391
Colombia,Cundinamarca,Chía,Apartamento,3.0,3.0,3.0,109,118359,1085.862385
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,1.0,1.0,1.0,30,39900,1330
Argentina,Santa Fe,Rosario,Departamento,4.0,2.0,3.0,157,555000,3535.031847
Argentina,Bs.As. G.B.A. Zona Oeste,Moreno,Departamento,1.0,1.0,1.0,40,63000,1575
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,2.0,125,88081,704.648
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,60,149000,2483.333333
Argentina,Capital Federal,Barrio Norte,Departamento,2.0,1.0,1.0,50,149000,2980
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,54,185000,3425.925926
Colombia,Antioquia,Sabaneta,Apartamento,1.0,1.0,2.0,44,64685,1470.113636
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,38,54500,1434.210526
Colombia,Antioquia,Sabaneta,Apartamento,3.0,3.0,3.0,57,67437,1183.105263
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,3.0,2.0,1.0,71,149000,2098.591549
Argentina,Capital Federal,Belgrano,Departamento,3.0,2.0,3.0,84,268800,3200
Colombia,Cundinamarca,Bogotá D.C,Apartamento,4.0,4.0,3.0,141,178915,1268.900709
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,2.0,1.0,1.0,38,70000,1842.105263
Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,2.0,1.0,2.0,60,125000,2083.333333
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,4.0,169,255987,1514.715976
Colombia,Atlántico,Barranquilla,Apartamento,2.0,2.0,2.0,76,66871,879.8815789
Argentina,Capital Federal,Recoleta,Departamento,6.0,5.0,2.0,238,680000,2857.142857
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,86,85329,992.1976744
Argentina,Bs.As. G.B.A. Zona Norte,San Miguel,Departamento,2.0,1.0,1.0,38,51000,1342.105263
Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Departamento,2.0,1.0,1.0,31,95000,3064.516129
Argentina,Neuquén,Neuquén,Departamento,7.0,3.0,2.0,90,150000,1666.666667
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,75,130000,1733.333333
Argentina,Capital Federal,Caballito,Departamento,1.0,1.0,1.0,43,110000,2558.139535
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,41,54000,1317.073171
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,86,235000,2732.55814
Argentina,Córdoba,Villa Carlos Paz,Departamento,2.0,1.0,1.0,37,35000,945.9459459
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,3.0,80,239472,2993.4
Argentina,Bs.As. G.B.A. Zona Sur,San Vicente,Departamento,2.0,1.0,1.0,39,55000,1410.25641
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,72,180000,2500
Argentina,Capital Federal,Colegiales,Departamento,2.0,1.0,1.0,51,129000,2529.411765
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,40,95000,2375
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,65,93587,1439.8
Argentina,Santa Fe,Rosario,Departamento,3.0,2.0,1.0,60,155000,2583.333333
Argentina,Santa Fe,Rosario,Departamento,4.0,2.0,1.0,72,127000,1763.888889
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,34,60000,1764.705882
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,68,56702,833.8529412
Colombia,Valle del Cauca,Cali,Apartamento,4.0,4.0,4.0,202,188549,933.4108911
Argentina,Capital Federal,Villa Urquiza,Departamento,4.0,3.0,2.0,80,595000,7437.5
Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,1.0,1.0,1.0,30,76000,2533.333333
Argentina,Capital Federal,Balvanera,Departamento,3.0,2.0,1.0,70,140000,2000
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,51,79824,1565.176471
Argentina,Capital Federal,Belgrano,Departamento,2.0,1.0,1.0,50,149900,2998
Colombia,Valle del Cauca,Jamundí,Apartamento,2.0,2.0,2.0,62,42664,688.1290323
Colombia,Atlántico,Barranquilla,Apartamento,2.0,2.0,2.0,68,65235,959.3382353
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,38,25000,657.8947368
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,129,148637,1152.224806
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,143,187173,1308.902098
Argentina,Capital Federal,Belgrano,Departamento,4.0,3.0,2.0,80,238000,2975
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,4.0,2.0,1.0,52,75000,1442.307692
Argentina,Capital Federal,Nuñez,Departamento,3.0,2.0,2.0,65,215000,3307.692308
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,85,112854,1327.694118
Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,3.0,2.0,2.0,84,290000,3452.380952
Argentina,Santa Fe,Rosario,Departamento,4.0,3.0,2.0,73,187000,2561.643836
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,36,95000,2638.888889
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,94,213322,2269.382979
Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,1.0,1.0,1.0,40,82000,2050
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,81,64685,798.5802469
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,3.0,100,158271,1582.71
Colombia,Valle del Cauca,Cali,Apartamento,4.0,4.0,5.0,138,156895,1136.92029
Argentina,Capital Federal,Almagro,Departamento,3.0,2.0,1.0,53,125000,2358.490566
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,1.0,81,218000,2691.358025
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,69,71566,1037.188406
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,68,60556,890.5294118
Argentina,Capital Federal,Belgrano,Departamento,3.0,2.0,1.0,54,155000,2870.37037
Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,Departamento,3.0,2.0,2.0,100,340000,3400
Argentina,Santa Fe,Santa Fe,Departamento,4.0,3.0,1.0,72,102000,1416.666667
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,2.0,55,185000,3363.636364
Argentina,Capital Federal,Caballito,Departamento,3.0,2.0,1.0,63,135000,2142.857143
Argentina,Capital Federal,Congreso,Departamento,1.0,1.0,1.0,24,54000,2250
Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,Departamento,2.0,1.0,1.0,39,75000,1923.076923
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,96,119736,1247.25
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,2.0,50,180000,3600
Argentina,Capital Federal,Coghlan,Departamento,2.0,1.0,1.0,34,120000,3529.411765
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,3.0,128,161024,1258
Argentina,Capital Federal,Villa del Parque,Departamento,2.0,1.0,1.0,37,120000,3243.243243
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,33,115000,3484.848485
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,80,173410,2167.625
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,4.0,3.0,1.0,76,90000,1184.210526
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,1.0,1.0,1.0,32,60000,1875
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,1.0,53,27525,519.3396226
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,172,426645,2480.494186
Argentina,Buenos Aires Costa Atlántica,Monte Hermoso,Departamento,4.0,2.0,2.0,70,120000,1714.285714
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,32,72000,2250
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,88,130000,1477.272727
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,110,167905,1526.409091
Colombia,Santander,Bucaramanga,Apartamento,3.0,3.0,2.0,63,33031,524.3015873
Argentina,Capital Federal,Caballito,Departamento,1.0,1.0,1.0,30,81000,2700
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,1.0,65,215000,3307.692308
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,80,77071,963.3875
Argentina,Capital Federal,Floresta,Departamento,4.0,3.0,1.0,75,185000,2466.666667
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,85,340000,4000
Colombia,Antioquia,Medellín,Apartamento,3.0,3.0,2.0,117,151390,1293.931624
Argentina,Capital Federal,Villa Urquiza,Departamento,2.0,1.0,1.0,44,112000,2545.454545
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,71,75695,1066.126761
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,50,180000,3600
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,30,83000,2766.666667
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,86,180017,2093.22093
Argentina,Capital Federal,Chacarita,Departamento,2.0,1.0,1.0,34,80000,2352.941176
Argentina,Capital Federal,Balvanera,Departamento,1.0,1.0,1.0,32,58000,1812.5
Argentina,Capital Federal,Puerto Madero,Departamento,4.0,3.0,4.0,212,1299997,6132.061321
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,41,89458,2181.902439
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,1.0,52,35783,688.1346154
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,1.0,112,44041,393.2232143
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,2.0,86,335000,3895.348837
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,65,54776,842.7076923
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,37,85000,2297.297297
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,2.0,100,320000,3200
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,28,105000,3750
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,3.0,2.0,3.0,90,195000,2166.666667
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,70,45417,648.8142857
Argentina,Santa Fe,Rosario,Departamento,3.0,2.0,1.0,98,105000,1071.428571
Argentina,Capital Federal,Balvanera,Departamento,2.0,1.0,1.0,41,73000,1780.487805
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,34,49500,1455.882353
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,4.0,148,122213,825.7635135
Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Departamento,3.0,2.0,3.0,185,1150000,6216.216216
Argentina,Capital Federal,Puerto Madero,Departamento,5.0,3.0,5.0,335,2300007,6865.692537
Argentina,Capital Federal,Villa Urquiza,Departamento,2.0,1.0,1.0,49,144000,2938.77551
Argentina,Capital Federal,Almagro,Departamento,3.0,2.0,1.0,49,91900,1875.510204
Colombia,Risaralda,Pereira,Apartamento,4.0,4.0,2.0,86,49546,576.1162791
Colombia,Antioquia,Envigado,Apartamento,2.0,2.0,2.0,73,61932,848.3835616
Colombia,Antioquia,Bello,Apartamento,2.0,2.0,2.0,54,57803,1070.425926
Argentina,Capital Federal,Barrio Norte,Departamento,2.0,1.0,1.0,52,170000,3269.230769
Argentina,Capital Federal,Saavedra,Departamento,1.0,1.0,1.0,35,88000,2514.285714
Argentina,Capital Federal,Barrio Norte,Departamento,4.0,3.0,3.0,120,289000,2408.333333
Argentina,Córdoba,Córdoba,Departamento,2.0,1.0,1.0,20,20000,1000
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,1.0,50,41288,825.76
Argentina,Buenos Aires Costa Atlántica,Villa Gesell,Departamento,2.0,2.0,1.0,57,75000,1315.789474
Argentina,Buenos Aires Costa Atlántica,San Bernardo,Departamento,1.0,1.0,1.0,35,55000,1571.428571
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,1.0,60,37159,619.3166667
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,173,357831,2068.387283
Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Departamento,2.0,1.0,1.0,46,178000,3869.565217
Argentina,Capital Federal,Barrio Norte,Departamento,1.0,1.0,1.0,27,85000,3148.148148
Argentina,Santa Fe,Santa Fe,Departamento,3.0,2.0,1.0,65,38000,584.6153846
Argentina,Santa Fe,Rosario,Departamento,5.0,3.0,2.0,110,145000,1318.181818
Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,3.0,2.0,2.0,80,300000,3750
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,2.0,58,44041,759.3275862
Argentina,Capital Federal,Belgrano,Departamento,2.0,1.0,1.0,30,105000,3500
Argentina,Santa Fe,Rosario,Departamento,3.0,2.0,1.0,67,40000,597.0149254
Argentina,Buenos Aires Costa Atlántica,Miramar,Departamento,2.0,1.0,1.0,48,62000,1291.666667
Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,Departamento,2.0,1.0,1.0,46,110000,2391.304348
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,1.0,58,93000,1603.448276
Argentina,Capital Federal,Belgrano,Departamento,2.0,1.0,1.0,41,130000,3170.731707
Argentina,Capital Federal,Parque Centenario,Departamento,3.0,2.0,1.0,68,140000,2058.823529
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,31,120000,3870.967742
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,42,77900,1854.761905
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,79,72392,916.3544304
Argentina,Capital Federal,Nuñez,Departamento,3.0,2.0,1.0,55,125000,2272.727273
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,1.0,51,64685,1268.333333
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,50,68814,1376.28
Argentina,Capital Federal,Balvanera,Departamento,3.0,2.0,1.0,56,120000,2142.857143
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,2.0,157,870000,5541.401274
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,58,41288,711.862069
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,42,94500,2250
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,65,65235,1003.615385
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,39,74900,1920.512821
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,33,105100,3184.848485
Argentina,Córdoba,Villa Carlos Paz,Departamento,3.0,1.0,1.0,50,75000,1500
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,3.0,115,170658,1483.982609
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,2.0,92,112854,1226.673913
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,45,85394,1897.644444
Colombia,Atlántico,Barranquilla,Apartamento,2.0,2.0,3.0,90,77071,856.3444444
Argentina,Santa Fe,Rosario,Departamento,4.0,2.0,2.0,80,265000,3312.5
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,37,139000,3756.756757
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,37,100000,2702.702703
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,76,88081,1158.960526
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,34,47000,1382.352941
Argentina,Capital Federal,Caballito,Departamento,3.0,2.0,1.0,75,159000,2120
Argentina,Capital Federal,Almagro,Departamento,7.0,5.0,3.0,233,415000,1781.11588
Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,3.0,2.0,1.0,106,100000,943.3962264
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,2.0,127,520000,4094.488189
Argentina,Capital Federal,Once,Departamento,3.0,2.0,2.0,88,150000,1704.545455
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,35,72000,2057.142857
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,4.0,187,211946,1133.40107
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,4.0,4.0,3.0,126,320000,2539.68254
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,52,35508,682.8461538
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,87,81200,933.3333333
Argentina,Río Negro,General Roca,Departamento,2.0,1.0,1.0,36,50000,1388.888889
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,77,195000,2532.467532
Argentina,Capital Federal,Boedo,Departamento,2.0,1.0,1.0,43,90000,2093.023256
Argentina,Capital Federal,Belgrano,Departamento,4.0,3.0,2.0,130,348000,2676.923077
Argentina,Santa Fe,Santa Fe,Departamento,3.0,2.0,1.0,60,90000,1500
Argentina,Neuquén,Lácar,Departamento,2.0,1.0,1.0,60,120000,2000
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,32,60000,1875
Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Departamento,2.0,1.0,2.0,92,280000,3043.478261
Argentina,Capital Federal,Recoleta,Departamento,4.0,3.0,2.0,75,280000,3733.333333
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,3.0,133,200936,1510.796992
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,5.0,138,178915,1296.485507
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,1.0,1.0,1.0,40,120000,3000
